iter	Passed	Remaining
1102	88010	71573
1103	88091	71494
1104	88180	71422
1105	88261	71343
1106	88344	71265
1107	88427	71189
1108	88518	71118
1109	88611	71048
1110	88691	70969
1111	88763	70882
1112	88836	70798
1113	88916	70717
1114	88993	70636
1115	89075	70557
1116	89153	70477
1117	89234	70398
1118	89316	70320
1119	89405	70247
1120	89476	70160
1121	89552	70077
1122	89644	70007
1123	89727	69929
1124	89812	69853
1125	89901	69781
1126	89980	69700
1127	90053	69616
1128	90143	69543
1129	90218	69460
1130	90304	69385
1131	90378	69300
1132	90464	69225
1133	90548	69149
1134	90628	69069
1135	90712	68992
1136	90780	68903
1137	90856	68821
1138	90945	68748
1139	91015	68660
1140	91100	68584
1141	91173	68499
1142	91252	68419
1143	91324	68333
1144	91401	68251
1145	91480	68171
1146	91556	68088
1147	91624	68000
1148	91701	67918
1149	91787	67843
1150	91874	67768
1151	91957	67691
1152	92041	67614
1153	92111	67527
1154	92190	67447
1155	92263	67362
1156	92342	67281
1157	92417	67198
1158	92496	67117
1159	92563	67029
1160	92630	66939
1161	92716	66864
1162	92798	66785
1163	92872	66702
1164	92955	66625
1165	93026	66538
1166	93097	66452
1167	93170	66367
1168	93245	66285
1169	93316	66198
1170	93393	66117
1171	93470	66035
1172	93550	65955
1173	93625	65872
1174	93704	65792
1175	93780	65710
1176	93861	65631
1177	93938	65549
1178	94019	65470
1179	94097	65390
1180	94173	65307
1181	94249	65224
1182	94327	65143
1183	94399	65059
1184	94468	64972
1185	94547	64891
1186	94631	64815
1187	94713	64736
1188	94781	64649
1189	94852	64563
1190	94924	64478
1191	94997	64394
1192	95083	64318
1193	95162	64238
1194	95232	64152
1195	95308	64070
1196	95390	63991
1197	95470	63912
1198	95561	63840
1199	95649	63766
1200	95725	63684
1201	95807	63606
1202	95878	63520
1203	95951	63436
1204	96033	63358
1205	96111	63277
1206	96205	63207
1207	96291	63131
1208	96373	63053
1209	96466	62982
1210	96556	62909
1211	96637	62830
1212	96706	62743
1213	96791	62667
1214	96857	62578
1215	96929	62494
1216	97010	62415
1217	97074	62325
1218	97160	62249
1219	97241	62171
1220	97308	62083
1221	97390	62004
1222	97475	61928
1223	97566	61855
1224	97648	61777
1225	97720	61692
1226	97813	61621
1227	97887	61538
1228	97966	61458
1229	98053	61382
1230	98125	61298
1231	98198	61214
1232	98285	61139
1233	98375	61065
1234	98455	60986
1235	98535	60906
1236	98606	60822
1237	98684	60740
1238	98763	60661
1239	98846	60583
1240	98916	60497
1241	99001	60421
1242	99072	60336
1243	99147	60253
1244	99214	60166
1245	99296	60088
1246	99373	60006
1247	99456	59928
1248	99541	59852
1249	99615	59769
1250	99691	59687
1251	99767	59605
1252	99837	59520
1253	99907	59434
1254	99980	59351
1255	100047	59263
1256	100121	59180
1257	100202	59101
1258	100280	59021
1259	100361	58942
1260	100423	58852
1261	100510	58776
1262	100584	58694
1263	100662	58613
1264	100735	58530
1265	100801	58442
1266	100883	58364
1267	100962	58284
1268	101039	58203
1269	101111	58118
1270	101183	58035
1271	101264	57956
1272	101352	57881
1273	101433	57802
1274	101520	57727
1275	101599	57647
1276	101682	57569
1277	101759	57488
1278	101834	57406
1279	101907	57322
1280	101975	57236
1281	102042	57150
1282	102111	57064
1283	102189	56984
1284	102252	56895
1285	102324	56811
1286	102402	56731
1287	102489	56655
1288	102570	56576
1289	102650	56497
1290	102721	56413
1291	102791	56328
1292	102865	56245
1293	102934	56160
1294	103009	56078
1295	103084	55996
1296	103172	55921
1297	103245	55838
1298	103322	55757
1299	103404	55679
1300	103469	55592
1301	103537	55506
1302	103618	55427
1303	103703	55351
1304	103790	55275
1305	103883	55203
1306	103959	55121
1307	104051	55048
1308	104125	54965
1309	104211	54890
1310	104311	54821
1311	104416	54754
1312	104484	54669
